0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
347,13,201,105,47,25,113,245,406,1281,1413,786,961,490,252,52,9,13,180,171,138,246,310,43,45,47,228,153,32,69,30,20,52,364,52,51,7,54,134,657,328,113,56,182,107,19,330
650,39,411,132,97,64,384,732,804,1475,1923,1055,1570,854,289,56,31,76,177,425,256,291,562,76,67,85,239,166,38,57,39,31,120,356,103,68,19,108,156,988,390,79,93,165,142,29,452
1106,96,487,172,234,51,780,1182,716,1381,1476,1260,1127,749,218,56,90,85,187,486,513,462,805,89,166,205,408,238,70,54,79,83,155,213,171,74,61,92,157,1022,241,239,122,179,152,120,543
2684,436,675,828,365,432,1659,3105,1635,2716,4845,4549,5866,4250,1056,287,278,157,537,1189,687,1650,2758,444,370,689,1494,1255,251,288,280,176,488,806,598,185,150,479,350,3308,759,962,596,695,500,725,702
4480,1156,1208,1749,675,1032,2936,4341,2406,3495,7807,7142,9989,7806,2642,662,793,413,795,2022,1865,2797,5449,981,945,1708,3630,2907,682,560,576,518,1291,2128,1268,457,627,1523,608,6518,1195,2415,1266,1557,1579,1717,1159
8400,1983,2024,2850,1230,1620,3451,4950,2830,3836,12185,11230,17259,13883,5112,1417,1536,623,1470,3229,2541,4879,9097,1799,1326,2850,7060,5844,1264,1024,1003,858,2345,4112,2165,866,1561,2468,986,9010,1378,3564,1792,2239,2260,3116,1560
8843,2162,2213,2603,1546,1569,2693,4100,2082,2595,10266,8973,15006,12667,4903,1676,1543,751,1531,3550,2700,5271,9413,2055,1514,3644,8354,7257,1489,1084,852,999,2670,4546,1928,944,1772,2761,1536,8026,1013,3033,2088,2232,2399,4025,2394
6368,1677,2188,2036,1766,1047,1896,2460,1283,1533,5974,5301,8804,7902,3764,1554,1442,857,1091,2769,2503,4404,8239,1918,1525,2854,7035,5781,1208,984,653,877,2174,3965,1663,799,1469,2228,1412,5272,658,1958,1590,1403,1726,3784,1750
3310,952,1295,1146,1277,624,1078,1424,679,823,2735,2620,3811,3469,1975,1094,912,781,548,1747,2302,2686,5905,1318,1279,2058,4544,3579,738,807,525,679,1561,3008,1196,772,1059,1499,1216,3167,381,1166,1037,1021,963,2400,1470
2248,642,938,1008,948,484,842,1158,559,604,1979,1917,2611,2763,1312,846,901,773,614,1582,1687,2425,5459,1338,1151,1777,4122,3267,700,772,489,714,1410,2841,1297,853,896,1371,1090,2593,349,1151,1054,847,1039,2262,978
1750,520,739,761,693,487,649,915,453,516,1462,1662,1907,2305,925,740,866,741,563,1520,1682,2425,5305,1370,1091,1442,3388,2599,637,875,376,673,1206,2866,1386,828,762,985,1210,2388,270,1005,1041,642,1113,2215,655
1214,453,605,561,581,326,485,646,376,402,1152,1154,1471,1751,667,625,859,684,382,1269,1737,2129,5317,1196,907,1334,2633,2005,540,743,337,493,1001,2376,1317,797,557,839,949,2301,258,792,1001,433,925,1961,649
777,372,444,375,556,251,349,357,250,446,842,740,1061,1192,529,494,758,520,347,1026,1549,1834,4390,1037,756,1087,1939,1560,393,624,345,461,765,1721,1205,579,275,523,621,1906,242,454,937,408,741,1620,433
473,337,375,213,597,161,347,258,170,358,709,443,870,972,407,398,894,440,323,744,1406,1327,3568,983,679,969,1608,1307,326,493,351,434,741,1468,1179,462,141,381,468,1565,198,315,734,293,853,1230,306
392,173,265,205,416,87,227,165,77,262,408,250,423,544,319,312,643,326,230,374,856,711,2170,763,401,573,1170,852,185,324,220,269,472,854,730,228,102,273,203,1099,171,243,569,222,680,873,235
327,152,219,159,372,86,174,60,59,142,289,183,337,346,227,250,469,202,110,227,640,471,1217,421,257,347,738,494,125,170,115,210,280,516,467,130,62,148,73,687,112,210,338,157,392,474,173
376,107,173,112,278,101,101,64,26,89,165,149,233,251,212,158,359,103,109,186,492,310,576,271,146,251,550,379,80,80,91,182,183,311,310,78,40,119,62,529,87,258,282,144,241,271,166
677,126,205,189,236,238,150,72,44,118,240,218,391,366,240,264,364,127,236,285,513,523,731,358,144,326,927,534,116,102,112,173,182,333,485,74,85,121,87,860,273,478,475,256,451,418,276
900,205,215,218,280,293,176,41,56,145,303,194,427,399,317,339,354,148,206,358,435,366,718,318,182,294,899,660,113,130,147,200,197,267,499,54,85,105,56,955,245,525,456,343,441,496,247
579,198,146,112,216,139,157,37,45,142,295,160,309,268,178,205,219,164,130,234,315,205,570,196,160,249,725,414,77,110,112,172,203,196,305,27,80,119,55,1029,178,349,317,340,387,369,250
511,208,80,127,122,136,164,18,29,107,272,95,263,317,224,219,140,108,95,167,259,195,369,161,87,227,638,351,76,70,59,90,136,126,246,22,56,189,31,837,147,252,270,230,390,304,190
440,230,109,116,100,109,169,24,48,177,324,122,308,377,182,321,180,127,81,263,215,219,290,155,81,290,639,447,81,44,45,80,108,108,129,17,43,201,20,670,146,221,256,165,329,216,199
448,172,73,107,36,72,110,24,31,68,168,166,200,192,112,183,95,80,42,182,159,143,149,81,26,165,403,216,66,18,25,45,78,44,64,4,9,110,7,441,102,133,180,99,225,159,269
195,106,38,82,22,54,62,11,21,24,99,78,148,135,50,86,26,63,17,96,127,75,84,50,28,52,207,92,27,18,15,23,29,28,34,2,5,62,0,286,33,63,132,43,137,95,297
69,69,24,20,23,20,62,7,8,24,40,45,75,61,23,48,10,30,8,63,80,48,43,31,12,46,113,78,19,4,14,9,4,8,39,1,0,30,0,160,30,66,81,51,78,73,258
24,29,21,14,11,5,32,2,10,16,22,31,35,28,14,26,7,12,2,27,60,37,28,19,2,15,40,46,16,2,10,10,3,1,17,1,2,16,0,72,18,44,65,20,41,82,234
16,39,7,7,0,3,15,19,5,9,15,34,28,13,10,10,0,5,3,2,55,25,16,11,0,3,19,8,5,0,9,3,8,0,3,0,0,8,0,30,4,28,36,19,55,31,241
17,19,4,1,1,3,4,5,2,1,7,17,43,7,1,4,0,7,1,3,41,7,6,1,1,7,4,6,3,0,3,0,6,2,0,0,0,4,0,62,10,11,26,8,12,15,272
2,16,0,2,0,0,2,0,1,5,1,18,13,7,0,0,0,0,1,0,48,8,4,0,1,5,7,0,1,0,8,0,7,0,0,0,0,1,0,17,4,25,17,0,16,7,235
4,7,0,0,0,2,0,2,1,0,1,12,8,2,0,0,3,1,0,0,11,4,4,0,0,2,8,0,0,0,5,0,3,0,0,0,0,0,0,9,1,16,19,4,17,2,205
2,0,4,1,0,0,0,2,0,0,1,8,11,0,0,0,0,0,0,0,2,1,1,1,0,0,6,3,0,0,2,1,0,0,0,0,0,0,0,1,0,6,9,2,6,2,158
1,0,0,0,0,0,1,2,0,0,0,2,2,1,0,1,0,1,0,0,3,0,2,0,0,3,7,2,0,0,0,0,0,0,0,0,2,0,0,3,0,1,4,0,1,0,100
0,0,0,1,0,0,0,1,0,0,0,2,9,1,0,0,0,0,0,0,7,0,2,0,0,2,3,4,0,0,0,0,0,0,1,0,0,0,0,3,1,0,2,0,0,0,64
1,0,0,2,0,0,0,0,0,0,0,1,5,1,0,0,0,1,0,0,2,1,0,0,0,0,2,3,0,0,0,0,0,1,0,0,1,1,0,3,0,4,1,0,0,0,64
0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,3,5,0,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,5,0,2,1,0,0,0,47
0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,0,0,2,0,1,5,1,2,0,0,0,7,0,0,0,0,1,1,1,0,0,0,0,0,4,0,0,1,0,0,0,33
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,8,0,1,0,0,15,3,0,1,0,0,0,0,1,0,0,4,3,0,7,0,0,0,0,0,0,36
0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,0,0,1,4,2,0,0,0,0,0,0,1,2,0,6,0,0,0,0,0,0,0,1,42
0,0,2,0,0,0,0,0,0,0,1,0,4,1,0,1,0,0,0,0,4,0,3,0,0,9,6,1,0,0,0,12,0,0,0,2,0,0,0,1,0,0,1,3,0,1,55
2,0,0,2,0,0,1,5,2,0,0,2,1,2,0,3,0,0,0,3,7,12,2,0,1,0,13,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,1,0,0,43
0,1,0,0,0,0,1,4,1,0,2,4,1,1,0,0,0,0,0,7,7,10,1,4,0,1,2,1,0,0,0,17,0,0,1,0,0,2,1,0,0,1,0,3,0,1,45
1,0,0,2,0,0,1,3,16,0,4,4,4,6,0,0,0,0,0,4,5,9,0,1,0,1,6,12,0,3,0,6,0,1,0,1,1,1,0,3,0,0,0,0,0,0,58
4,0,0,0,0,0,1,9,9,1,0,6,14,14,1,0,3,0,0,2,6,4,3,0,0,3,5,29,0,12,0,2,0,0,0,2,0,0,0,4,0,1,0,0,0,0,55
11,1,0,0,1,0,0,0,0,0,0,9,7,3,0,0,0,0,0,0,4,17,4,0,0,0,8,2,3,4,0,3,0,1,0,0,0,0,0,2,0,5,4,0,0,3,30
26,0,5,1,1,0,1,2,3,0,6,8,39,8,0,0,0,0,3,1,24,42,4,0,2,1,10,11,3,0,0,0,1,0,1,2,0,1,0,2,12,9,2,0,0,2,40
32,0,12,5,9,0,0,4,6,0,11,26,35,25,2,0,0,0,1,5,30,12,10,1,2,3,13,4,0,8,0,0,1,1,1,1,0,34,1,26,19,1,8,4,1,0,45
37,1,20,8,16,0,3,7,5,0,3,28,53,33,6,1,0,4,0,6,54,24,9,3,4,10,22,11,0,6,4,0,5,5,2,0,1,43,2,4,9,0,8,10,0,7,54
161,1,17,0,7,2,4,19,11,5,28,27,52,51,4,0,3,2,0,9,43,17,22,4,5,6,26,36,1,3,1,1,8,4,8,0,0,19,1,5,5,1,5,15,0,12,59
293,0,49,7,18,1,17,41,33,5,78,53,123,52,10,1,21,2,0,12,63,31,30,2,3,14,28,23,10,7,2,3,31,4,22,2,0,26,8,7,32,6,13,13,3,65,55
238,1,87,33,24,4,21,85,58,6,123,104,173,69,27,33,5,0,1,17,67,42,68,13,8,21,96,44,9,26,2,5,41,29,61,8,4,27,38,57,81,8,38,53,2,132,64
274,4,56,27,24,4,11,65,91,19,274,140,282,117,25,72,22,2,1,43,77,53,112,23,60,48,138,63,13,22,5,9,47,48,137,14,13,39,96,130,105,21,66,103,3,220,76
381,14,63,19,16,6,49,67,60,18,309,173,303,149,25,46,11,9,3,52,111,86,161,19,72,65,153,71,16,17,7,1,39,61,288,28,25,55,117,183,90,38,78,120,8,280,103
406,50,43,23,48,30,84,125,109,89,556,283,451,327,53,48,34,20,6,119,148,247,264,32,85,85,269,190,70,17,37,3,78,62,348,39,56,63,188,361,125,153,206,204,31,434,125
464,66,45,28,124,44,115,132,107,140,638,245,618,544,57,61,60,30,30,155,230,294,413,77,112,155,434,288,53,74,26,16,127,94,292,57,79,55,238,568,139,372,294,217,84,546,270
333,77,98,64,162,4,171,324,86,110,316,283,282,146,68,30,48,47,36,200,711,251,794,84,165,192,512,165,41,33,38,55,155,135,142,104,74,87,312,644,89,271,390,202,208,392,760
644,173,142,243,168,65,291,639,325,389,1523,1192,2098,1654,180,243,185,133,256,431,775,1011,1311,427,346,579,1854,949,254,405,73,132,470,421,425,255,147,238,418,1338,298,433,645,453,452,863,1154
1102,412,297,551,327,197,710,1287,628,1198,3263,2853,4637,3656,544,419,383,278,549,983,1664,1889,2765,812,777,1418,4384,2453,594,666,137,221,959,997,745,480,313,477,645,3230,585,954,1282,1019,1155,1207,2131
2591,1373,467,1060,616,566,1251,2411,1450,2632,8322,6406,12317,10558,1439,888,759,678,974,2320,2183,3582,5058,1635,1660,3007,7876,5119,1147,940,334,472,2053,1796,1149,859,610,981,1003,6374,1357,2273,2300,2298,2234,2101,3139
5262,1962,1042,1567,789,856,1939,3301,2115,4018,11919,9046,17091,16161,2221,1073,1078,1127,1282,3885,2744,4479,7223,2591,2360,4280,9319,6231,1359,936,438,528,2398,2190,1483,924,783,1351,952,9022,1757,2871,3102,3482,3309,2556,4001
7526,2014,1354,2076,965,1324,2361,2746,2004,4222,10360,8228,14288,13060,2616,1013,929,1145,1219,3412,2377,3887,7419,2462,1964,3645,7315,5362,1335,742,433,483,1813,1921,1564,732,805,1303,631,7388,1361,2180,2653,3038,2335,1653,2166
9671,2280,1764,2305,1045,1235,2331,2777,1843,3300,8225,6323,11727,9962,2845,937,922,1168,657,2741,2455,3426,7165,2447,1676,3120,6404,4377,1047,732,461,623,1787,1802,1777,734,942,1399,645,7979,1194,2239,2382,2912,1881,1551,1947
8884,2021,1931,2554,1035,1242,1957,2648,1604,2270,7360,5846,11911,10018,3288,916,1162,1381,408,2432,2168,3216,6103,2555,1428,2901,5944,4225,981,686,531,797,1821,1760,1730,769,1049,1693,859,8497,1195,2680,2504,2861,2048,2060,1650
8204,2186,2303,3271,1182,1175,2030,2926,1731,1973,7547,6416,11973,10462,3550,902,1479,1653,407,2467,2140,3470,6128,2733,1362,3144,6885,4601,1049,801,776,980,1911,1815,1963,830,1118,1814,1034,8228,1079,2582,2314,2444,2260,2106,1335
6800,2290,2423,3626,820,1131,1790,2184,1533,1774,6352,4946,9419,7849,3057,896,1303,1246,453,2072,1668,2688,4669,2098,1002,2377,5554,4058,834,624,685,817,1492,1507,1737,629,975,1388,860,6111,777,1917,1628,1539,1478,1419,915
6564,2471,2642,3704,1027,1239,2008,2517,1646,1701,5787,4860,8563,6483,3137,1139,1339,1477,595,2548,1640,2988,4465,2024,958,2168,5592,4207,953,674,709,804,1489,1731,1920,648,1118,1583,913,5487,759,1625,1543,1313,1563,1617,895
5009,1781,2158,2736,992,1120,2095,2162,1337,1582,4412,3719,6102,4531,2525,1084,1178,1279,818,2136,1740,2780,3947,1421,723,1738,4665,3189,785,539,654,726,1197,1495,1632,564,890,1349,822,4131,632,1229,1241,933,1346,1804,1026
3057,1245,1416,1734,831,965,1434,1552,892,1291,2647,2334,3880,2742,1820,859,848,870,694,1443,1116,1836,2663,902,453,1123,2941,2110,406,409,447,439,796,971,942,321,576,880,648,2009,356,727,834,507,899,1282,807
1585,786,785,788,508,580,735,573,459,784,1222,1122,2001,1409,855,430,391,389,331,823,644,923,1183,391,236,576,1467,1031,261,163,245,293,384,559,459,114,244,427,288,884,162,374,386,257,473,705,605
1044,578,533,461,433,424,596,346,317,511,727,773,1264,818,596,376,301,193,339,486,430,561,868,208,119,374,1008,661,200,126,157,173,281,438,272,84,186,261,211,665,100,259,272,188,352,593,455
1126,656,710,648,552,524,793,312,419,727,826,755,1181,731,782,435,291,186,457,891,472,677,949,300,165,466,1042,728,247,136,134,148,318,486,266,115,182,268,161,551,100,150,272,183,265,574,598
1074,610,696,750,576,617,890,228,472,588,710,609,840,536,610,425,182,137,257,811,375,458,716,239,131,337,825,743,203,103,137,141,309,417,198,133,169,252,119,403,104,118,224,191,214,396,509
685,351,525,397,371,451,613,126,227,329,362,267,416,214,333,250,132,86,134,478,323,212,400,95,97,232,520,431,87,86,63,134,297,304,141,93,69,165,86,215,52,75,119,120,138,259,595
282,85,239,155,179,154,248,49,75,113,130,91,138,89,109,87,61,37,70,217,224,100,202,30,41,117,237,170,61,42,24,33,153,147,65,45,41,85,30,99,15,53,46,31,52,137,496
202,67,127,103,76,204,138,26,41,78,52,79,104,63,80,50,35,26,56,181,108,65,123,39,21,93,166,134,57,38,13,35,129,118,71,30,31,64,43,104,39,41,59,12,33,155,467
98,31,135,47,54,141,65,6,13,40,27,55,49,42,34,43,11,8,39,105,75,54,96,21,15,46,145,83,28,22,4,25,61,90,69,30,4,50,43,61,13,26,43,7,19,140,443
37,9,106,35,34,81,32,7,9,24,14,29,37,35,19,19,11,5,14,69,41,33,58,8,11,27,69,41,15,11,9,19,30,64,22,12,9,38,9,22,2,8,15,3,25,78,404
12,2,23,11,12,36,11,3,0,9,3,17,8,6,8,2,1,4,7,19,22,27,26,1,4,8,32,13,3,7,3,3,15,20,10,4,4,14,5,7,0,0,21,0,18,67,307
5,0,10,7,5,21,3,0,1,7,7,5,14,29,1,1,0,9,3,8,7,9,10,0,1,6,16,4,0,2,3,7,1,10,5,0,1,8,2,4,0,2,16,0,13,53,329
6,2,9,5,0,3,3,0,1,4,5,2,5,21,2,0,0,1,1,2,4,5,2,0,0,0,10,1,0,1,0,3,1,6,5,0,1,5,0,11,0,0,10,0,12,95,264
4,1,12,4,0,3,1,1,1,0,4,5,7,5,1,0,0,0,0,1,9,1,5,0,2,0,7,2,0,0,0,1,0,3,4,1,0,3,0,9,0,0,5,0,7,45,193
2,2,8,3,0,10,0,3,1,0,0,3,4,3,0,3,0,0,0,0,8,2,3,1,1,3,5,2,0,0,0,0,0,1,1,3,0,2,0,20,0,1,1,0,5,25,198
8,0,6,1,4,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,8,1,3,3,3,6,6,0,0,0,0,0,4,0,4,0,0,1,0,3,0,0,2,0,1,9,136
2,0,2,1,3,0,0,2,1,0,2,1,3,5,0,0,0,0,0,0,6,5,1,1,0,6,8,1,0,1,0,0,3,1,1,0,0,1,0,4,0,0,4,3,1,2,128
1,0,2,0,0,0,1,1,0,0,0,1,2,6,1,0,0,0,0,0,4,2,1,0,1,2,9,1,0,0,1,0,0,3,0,0,0,0,0,9,0,2,1,2,0,1,72
0,0,2,0,1,0,0,0,0,0,0,1,4,8,0,0,0,0,0,1,2,1,1,2,3,1,6,0,1,0,0,1,0,2,9,0,0,0,0,15,0,4,0,0,0,1,69
1,0,1,0,0,0,0,0,0,1,0,0,3,10,0,0,0,0,0,0,6,1,5,1,0,1,6,1,0,0,0,0,0,0,3,0,0,1,0,15,0,3,0,0,0,0,42
1,0,3,0,0,0,1,0,1,0,0,2,5,5,2,0,1,0,0,0,5,0,1,1,3,4,8,3,1,0,0,0,0,3,1,0,6,0,0,0,1,3,0,1,2,0,37
2,0,1,0,0,0,0,0,1,0,2,3,3,3,0,0,0,3,0,0,3,2,2,2,2,3,6,3,0,0,0,2,0,0,1,1,0,0,0,2,0,0,0,0,6,0,29
1,0,1,0,0,0,0,0,0,0,2,0,6,5,0,0,0,1,0,0,1,0,2,1,6,0,9,2,0,0,0,4,5,7,2,3,0,1,3,0,2,0,0,0,10,0,49
4,0,0,0,0,0,0,0,1,0,2,3,6,3,0,0,0,0,0,0,2,2,0,19,2,0,6,2,0,0,2,12,2,7,0,0,0,0,21,0,0,3,1,0,4,0,76
2,0,0,0,0,0,1,1,2,0,3,8,16,10,0,0,0,0,0,0,16,1,0,5,2,0,47,6,0,1,8,18,1,0,0,3,1,5,16,4,3,1,0,0,10,0,67
2,0,0,0,0,0,1,0,0,0,2,2,51,7,0,4,0,0,0,0,6,3,0,0,0,0,5,11,1,0,1,5,0,7,0,2,0,8,9,7,4,0,0,4,3,0,56
0,0,0,0,0,0,0,3,0,0,1,9,37,16,0,0,0,0,0,0,10,9,1,0,1,1,10,22,5,6,0,2,2,7,8,1,0,17,10,9,1,13,62,12,6,0,63
0,0,0,3,0,0,0,0,4,0,2,14,31,15,0,0,0,0,0,0,11,5,4,2,4,1,12,9,9,3,0,0,4,3,10,2,0,23,5,25,1,27,34,4,2,17,46
0,0,3,0,0,0,0,2,0,0,4,26,26,21,3,0,0,1,0,1,4,3,5,1,3,1,10,5,3,0,0,0,9,6,13,1,1,15,1,19,0,21,16,3,1,11,39
3,0,0,4,0,0,0,0,1,2,4,15,30,7,5,0,0,0,0,0,10,5,0,2,1,2,7,8,1,2,0,0,2,8,6,5,2,9,1,6,0,20,5,6,0,9,25
1,0,4,2,0,1,1,1,3,0,4,62,32,52,5,0,0,0,0,1,6,7,2,2,3,3,33,12,1,0,0,1,6,18,4,0,0,6,0,10,3,16,6,5,0,11,35
12,4,22,0,0,15,0,2,3,1,67,59,93,86,64,0,0,1,0,4,13,10,11,4,5,2,44,11,6,1,4,0,4,25,5,2,1,18,1,13,4,69,6,24,1,8,33
12,0,17,5,2,18,8,10,11,13,136,81,161,99,49,4,2,2,3,22,16,26,25,5,5,11,66,27,15,1,5,5,9,27,5,1,0,25,2,18,1,76,7,29,0,4,32
45,1,54,5,1,55,62,18,21,32,178,103,302,244,28,10,8,4,0,45,25,19,52,12,7,26,87,64,19,4,9,7,5,25,5,4,7,45,0,37,5,39,9,56,1,3,22
117,2,397,19,15,49,210,60,36,59,435,335,791,614,31,10,21,28,8,74,17,91,122,27,9,27,238,141,47,6,15,15,20,33,21,2,10,110,3,97,0,93,20,81,0,4,59
421,5,673,115,53,83,487,120,66,99,1233,614,1496,1337,78,16,25,32,13,126,34,199,218,40,26,149,457,196,144,24,50,27,37,41,30,0,40,115,5,117,2,135,22,98,4,15,79
1307,58,739,299,83,116,584,362,149,237,2334,1174,2420,2221,198,59,19,66,65,299,87,226,308,111,88,447,852,376,276,37,87,41,104,100,30,34,92,208,12,243,75,203,54,93,45,62,112
3237,183,1010,688,169,421,769,687,289,557,4607,2317,4192,4208,429,124,80,166,186,549,219,493,671,346,312,1129,2204,1172,764,149,181,77,232,247,62,145,249,492,24,928,92,453,193,167,162,96,328
5890,516,1583,1549,484,812,1285,1544,758,1506,8598,4276,8570,7329,658,252,281,250,416,1053,456,1274,1788,767,712,2391,5452,2743,1288,343,248,112,505,807,135,299,721,837,172,2604,163,1113,487,598,305,273,549
7627,961,2187,2382,994,1266,2001,2819,1441,2415,11599,6880,13554,11689,938,654,566,605,1019,1986,862,2458,3944,1403,1473,3658,10321,6064,1711,1007,558,186,1287,2123,451,648,1616,1481,451,7087,443,2390,1225,1292,1234,755,1260
5698,1467,2228,1140,2261,471,2349,3354,1121,1792,4702,2837,3802,2447,661,404,723,765,543,1919,3625,2266,5953,1080,2334,3205,5715,2635,386,584,838,559,1727,1754,825,906,1862,1373,1026,8759,654,2237,1971,1822,1504,1006,2827
4543,1786,1998,2760,1371,1008,2437,3633,2052,2669,6738,6759,9806,8997,1890,1163,1181,1090,1634,2526,2534,6232,8632,2294,2040,3420,8502,6892,1444,1456,975,923,3611,4268,2405,1534,1972,2173,1479,10750,1808,3560,4578,2661,4509,3370,3653
3277,1869,1739,2764,1354,1230,2693,3710,2199,2853,5639,7283,8198,7859,2837,1462,1735,1818,1529,2879,3471,7061,11581,2511,2373,3557,8280,6756,1410,1512,1091,1694,4974,5191,3777,1817,1830,2331,2383,11697,2720,4032,5887,3855,5875,5577,4917
3372,2281,1487,3545,1373,1654,2582,3571,2253,3316,6219,8004,9605,9381,4650,2011,2573,2026,1541,3780,3397,6276,11891,3020,2132,3250,8640,7414,1335,1528,1135,1664,4954,5498,5183,1422,1536,2235,2452,12023,2731,4035,5734,4151,5077,7309,3779
4054,2236,1438,2786,1542,1268,2112,2568,1766,2483,4962,6082,7835,7813,4740,1621,2081,1346,1123,3109,2404,3639,8775,2446,1502,2250,6174,5200,876,1195,820,1047,2998,3923,3569,830,855,1640,1791,7609,1635,2635,3205,3393,2973,4940,2774
3937,1619,1424,1807,1258,827,1497,1560,1216,1564,3591,4174,4743,4978,3443,1212,1399,945,602,2160,1852,2190,5410,1631,947,1480,3967,3326,598,878,507,590,1776,2884,2171,519,499,1266,1121,4377,952,1485,1591,2000,1546,2972,1616
3360,1029,1133,1080,879,547,1064,1062,896,1140,2243,2670,3204,3066,2071,729,811,750,386,1326,1354,1334,3386,986,617,969,2342,2114,311,471,332,401,957,1671,1193,331,352,762,929,2452,594,816,848,1196,854,1850,1162
2458,602,812,708,638,333,684,659,732,803,1567,2049,2213,2204,1285,479,599,630,202,881,813,967,2111,712,375,652,1502,1443,225,311,320,237,647,1008,828,231,209,568,826,1496,333,586,433,825,592,1186,843
2132,428,616,481,512,272,560,561,452,544,1136,1651,1694,1553,996,367,336,346,133,707,481,557,1329,448,275,463,1122,990,199,211,231,189,382,739,545,154,132,429,679,1012,260,367,258,551,435,652,492
