0,1,2,3,4,5,6,7,8,9
56,149,173,572,270,47,82,207,519,7
57,88,135,419,233,43,83,121,275,13
51,78,174,479,222,29,83,84,235,10
48,66,122,341,130,23,84,54,204,3
48,51,156,361,117,15,60,20,175,2
31,98,119,162,141,7,82,13,180,3
13,74,86,261,72,17,33,3,170,11
13,101,84,168,60,16,55,3,138,3
5,62,75,170,60,13,34,3,138,3
7,67,109,229,55,11,29,0,112,1
17,48,71,146,31,8,23,1,78,0
10,33,84,112,46,18,22,0,115,1
7,29,66,62,37,6,18,4,89,0
8,50,82,119,41,8,25,0,107,1
7,36,47,146,25,11,23,0,69,1
9,55,48,178,28,9,16,1,74,2
9,39,53,107,47,3,22,3,77,1
15,39,66,154,50,13,20,0,86,0
9,41,63,142,39,14,17,1,95,0
9,65,52,147,42,11,20,0,104,0
20,54,59,143,49,13,22,2,101,0
11,49,70,178,42,16,20,1,132,0
5,62,78,111,43,18,46,2,109,1
5,65,93,59,49,16,55,1,115,3
32,92,76,92,62,25,40,1,110,3
86,118,163,744,458,76,94,123,556,24
84,175,176,988,494,128,154,255,454,24
116,169,163,1038,497,162,114,306,430,36
123,179,173,1239,569,358,143,197,450,44
168,233,334,1556,526,720,180,371,518,84
186,243,351,1720,608,1360,156,513,564,89
199,326,512,2108,892,1419,235,1591,944,159
275,376,748,2385,1225,1316,238,2928,1341,309
259,330,882,2420,1432,952,489,2938,1707,333
563,665,1153,5032,2839,1715,879,3201,2517,384
1225,1358,1485,7102,5247,1420,1861,2367,2547,350
1501,1394,1621,7246,5754,1021,1180,1475,2217,290
1134,1065,1352,4849,4041,589,798,881,1588,118
931,622,1161,3113,2650,472,422,690,1167,104
694,450,769,2418,1486,329,219,512,659,66
422,290,591,1688,1091,305,145,347,665,39
302,253,466,1447,920,229,155,450,688,51
174,244,341,1487,765,259,139,405,553,69
131,218,382,1305,819,167,114,389,682,44
116,176,508,1143,705,140,138,329,518,51
100,199,477,1161,564,130,128,286,611,35
79,176,436,784,590,91,117,186,432,25
63,113,401,789,505,94,106,224,421,28
63,145,517,668,534,71,122,172,387,29
61,121,411,716,476,61,59,166,397,19
57,142,384,577,491,56,76,152,352,13
48,141,386,462,353,47,38,96,274,13
30,104,251,508,353,45,44,96,264,10
34,89,334,469,383,39,43,89,253,16
38,106,306,483,342,30,25,66,211,8
23,79,257,412,280,28,35,14,191,12
22,83,228,401,325,23,63,12,223,14
29,89,215,395,280,13,42,12,240,12
33,80,251,321,297,12,34,3,222,9
11,83,139,349,278,7,31,51,115,6
10,74,74,338,317,9,13,67,148,11
9,79,80,267,312,13,73,46,103,5
6,59,85,250,268,10,17,37,117,2
8,45,172,232,253,7,31,47,91,1
6,12,54,225,235,6,25,50,84,1
6,29,48,232,235,21,12,37,90,0
6,57,126,269,229,11,26,35,75,2
3,48,11,235,202,19,22,37,81,1
4,49,44,271,189,13,20,45,84,0
6,36,127,217,184,7,33,42,78,3
8,43,146,232,212,7,28,51,80,2
18,33,50,296,214,17,32,39,70,1
9,36,58,297,225,19,33,37,83,2
10,40,156,326,252,21,35,28,91,1
12,53,54,318,256,17,34,61,107,1
13,60,190,298,285,23,40,68,145,0
11,92,131,302,292,28,36,60,136,1
14,57,198,307,266,22,60,51,140,1
85,209,423,902,625,281,86,167,354,39
119,148,625,1103,675,231,82,200,402,46
105,177,638,1249,683,382,118,289,324,54
119,226,819,1170,810,255,104,317,493,56
146,210,746,1113,895,276,147,379,568,71
214,228,719,1284,906,320,149,433,620,96
158,324,590,1425,951,246,143,309,752,85
147,270,646,1286,859,267,112,289,712,125
260,336,752,1638,953,378,130,264,584,112
292,466,786,1453,961,261,144,334,624,107
301,491,779,1635,930,292,170,363,682,112
431,674,674,1386,843,296,192,266,822,105
624,751,946,1536,1277,352,179,377,1101,136
701,751,1059,1533,1470,451,202,668,1066,140
656,648,964,1489,1621,423,237,765,1324,196
697,522,879,1950,1919,636,410,839,1295,181
678,641,1169,2934,2648,886,571,1069,1644,182
708,700,1782,3724,3656,1600,834,1261,1753,174
751,811,1880,5163,4340,1950,978,1364,1862,270
612,694,2505,5177,4391,2023,689,1444,2157,239
456,617,1607,4825,3714,1576,532,1174,1794,335
377,504,1251,3971,3001,1094,391,965,1419,261
304,464,1225,3600,2350,960,260,671,1533,234
270,401,1169,2732,1979,662,232,583,1338,136
206,409,905,2352,1465,452,159,568,1249,135
225,321,735,1708,1304,389,104,462,986,95
167,233,511,1313,848,321,77,388,890,68
120,224,526,1042,749,288,27,368,1034,67
109,182,517,969,679,307,29,243,765,25
107,163,393,1024,516,349,10,226,816,42
96,124,392,811,463,258,43,174,587,42
35,143,407,782,477,275,19,186,652,36
33,102,251,735,392,197,12,161,615,33
39,73,183,594,377,177,4,107,464,38
23,87,191,607,398,162,7,105,440,79
35,102,182,486,241,142,0,128,393,35
24,75,155,479,317,132,0,121,306,5
24,73,129,462,323,110,0,81,409,17
24,69,134,414,301,105,4,3,294,11
21,32,127,364,303,82,2,8,243,16
32,60,134,303,264,111,0,5,219,20
23,59,148,272,283,94,5,8,158,18
21,46,116,304,251,101,3,13,120,15
15,54,145,292,246,91,1,5,124,9
16,47,166,327,268,80,0,4,102,13
25,34,61,331,244,71,2,6,134,20
22,9,148,200,260,109,3,5,155,11
14,44,126,208,257,209,5,6,143,21
25,64,180,193,281,132,2,8,152,24
21,57,244,148,270,138,4,9,118,17
30,95,230,169,293,190,17,12,160,23
35,94,251,212,243,171,8,15,158,17
167,281,515,602,609,220,65,585,509,33
156,300,501,864,732,241,39,163,534,52
216,349,379,1074,816,287,50,267,635,49
218,341,425,1088,844,287,74,236,682,53
224,514,469,1198,970,310,61,254,946,59
302,524,511,1227,870,371,66,268,822,77
293,469,496,1289,919,462,79,297,891,81
258,393,430,1216,906,365,71,192,907,64
270,582,532,1370,1027,489,101,403,1094,98
281,512,457,1602,905,514,62,388,1526,124
267,498,505,1676,914,710,74,752,2116,185
231,489,530,1723,966,926,117,901,2518,176
293,455,655,2014,1138,1132,149,942,1864,200
239,364,808,2057,1312,1188,130,637,1472,132
272,429,934,2017,1202,1162,220,533,951,162
264,379,977,2033,1174,1314,296,474,819,128
340,487,977,2445,1411,1431,392,505,1008,118
430,603,710,2795,1485,1329,436,579,1037,147
483,717,991,3282,1765,1187,473,588,813,128
545,593,1002,3652,1852,1472,435,599,978,98
555,541,1315,3804,2091,1354,479,694,942,126
613,623,1167,3426,2076,1387,354,746,831,120
614,554,1690,2693,2292,1179,270,767,1050,152
515,446,1489,2225,1897,751,152,609,1076,162
488,533,1176,1519,1611,732,135,612,1120,138
460,426,1103,1473,1464,748,101,445,1003,90
426,242,652,1133,1066,832,55,324,934,74
385,299,473,764,799,671,48,266,776,66
273,227,394,671,660,519,30,142,514,120
190,231,273,691,533,504,28,122,505,100
154,182,256,626,450,386,31,120,493,82
118,147,320,572,437,388,43,69,429,69
45,125,292,626,421,366,25,100,355,73
43,143,238,554,387,252,25,60,304,55
39,96,216,452,221,299,28,58,179,57
28,49,184,401,271,309,25,527,222,59
33,90,143,355,273,201,20,39,229,47
26,83,137,308,242,204,23,48,184,45
29,33,142,288,229,216,23,38,245,28
32,68,134,248,212,220,17,51,196,37
26,67,137,319,229,198,17,372,223,29
20,27,128,313,232,162,19,460,153,39
22,26,125,310,175,197,26,378,163,33
17,28,122,241,239,201,27,394,133,26
25,33,66,192,165,227,22,448,158,37
15,22,105,185,233,275,22,410,148,42
19,22,91,234,245,246,25,50,159,47
33,23,108,220,254,337,27,52,126,44
20,19,148,279,310,330,28,67,203,59
34,32,125,277,304,254,20,51,261,48
17,42,133,290,328,246,24,56,306,45
35,45,103,242,282,290,30,82,265,59
143,117,499,987,830,342,89,868,557,81
129,151,478,1037,839,434,86,191,642,85
186,226,528,1123,885,752,138,189,639,71
202,220,490,1266,913,755,149,141,651,101
236,219,522,1474,912,835,155,142,801,84
205,290,429,1712,1013,1191,154,282,768,95
244,322,518,1963,1186,1260,157,195,738,85
248,372,485,1811,903,1179,132,193,743,90
235,534,638,2330,1155,1237,220,206,868,107
282,478,625,2702,1253,1299,262,141,972,108
326,526,707,4130,1403,1603,296,219,1062,124
271,645,719,3769,1601,1389,378,249,1055,116
338,435,695,2453,1858,1360,375,296,995,108
359,598,694,2021,1673,1255,335,245,1102,104
309,490,612,1839,1508,1198,318,255,1095,137
380,512,598,1776,1473,1150,346,266,1241,167
309,691,708,2389,1895,2096,536,349,1703,212
419,670,621,2623,2462,2127,678,373,1912,235
520,730,774,3335,2458,2699,672,422,2242,345
496,703,673,3391,2446,2755,575,791,1844,357
512,648,679,3504,2460,2940,572,753,1708,272
520,547,749,2735,2091,2433,344,708,1395,279
459,579,779,2299,2174,1891,272,668,1391,203
417,731,764,1742,1973,1652,266,648,1203,201
353,522,565,1499,1990,853,149,487,980,164
377,477,606,1055,1245,935,103,374,818,158
322,363,426,813,885,1026,93,283,689,58
284,275,364,973,818,1059,99,168,776,53
214,219,309,867,800,792,95,198,625,60
180,206,224,781,737,725,83,126,560,73
127,168,180,607,594,650,65,119,517,50
94,140,221,503,520,644,84,124,477,53
37,157,170,402,496,595,63,88,395,39
33,165,175,383,498,505,20,69,335,60
41,129,134,386,384,515,20,95,296,58
25,105,118,262,305,456,14,75,290,29
35,115,113,241,269,433,10,81,295,22
41,109,101,169,277,383,12,65,264,35
42,74,92,194,261,431,13,70,259,19
32,85,66,205,220,283,14,63,169,32
37,52,87,239,166,207,11,86,172,29
31,53,69,172,230,378,18,84,149,27
18,65,72,264,228,414,14,73,173,35
20,50,58,163,150,320,10,63,176,27
21,45,61,217,250,264,14,83,188,29
26,72,74,235,237,356,13,66,171,33
31,69,68,259,249,419,11,66,248,28
32,44,91,292,298,406,15,77,243,28
29,32,135,318,340,282,17,92,282,27
33,41,129,226,329,500,30,70,300,36
43,44,131,174,381,710,25,72,289,44
62,67,526,142,371,566,18,59,358,59
173,1082,629,1404,695,866,72,172,495,53
189,1051,782,1509,752,1076,48,268,696,73
190,1281,722,1618,813,1159,101,274,718,65
244,1332,786,1615,959,1253,116,280,776,73
249,1528,753,1766,927,1371,165,365,684,107
241,1678,832,2006,1070,1474,103,389,755,139
209,1657,898,2534,1147,1357,101,417,640,144
211,1613,953,2229,922,1419,104,267,710,142
251,1852,983,2194,1037,1563,120,290,770,111
256,1728,921,2082,1016,1065,175,321,741,131
222,1896,412,2093,1064,869,174,293,932,136
197,1867,1100,2094,1161,805,113,342,954,117
215,1968,1047,1959,1227,858,156,316,1051,105
245,2000,1041,1998,1418,1170,181,310,1226,117
266,1910,1105,2062,1500,2024,235,388,1485,140
228,2019,1222,2568,1911,1786,267,381,1623,192
309,2564,1560,3834,2614,2928,416,542,2152,252
507,3246,1987,6558,3619,4462,818,823,2439,353
922,3952,3095,9549,4583,4480,1083,1025,2816,391
1049,3998,3057,8406,4787,4175,1330,1260,3181,382
1017,3745,3107,8484,4673,3428,1443,1399,2524,425
940,3296,2399,6495,4198,2693,1316,1341,2003,346
860,3006,1918,4575,3568,2478,894,1210,1522,223
612,2808,1576,3705,3153,1588,604,1056,1397,215
494,2272,1269,2793,2477,1359,391,770,1045,170
365,2028,999,2134,1926,991,367,524,920,122
324,1707,834,1775,1431,1084,307,349,675,97
257,1479,732,1492,1078,950,171,259,529,98
191,1247,630,1234,914,907,152,222,518,64
165,1011,568,1161,758,434,105,176,503,72
125,886,554,962,648,355,62,144,401,87
72,975,517,826,541,424,55,145,379,77
46,939,554,856,490,384,34,131,403,67
30,980,527,806,476,344,40,118,245,80
27,1091,557,676,572,512,23,92,196,57
39,980,425,529,367,275,26,80,159,53
26,912,405,495,279,434,26,89,175,65
27,930,382,445,331,344,25,99,193,66
24,829,367,460,252,264,32,80,189,37
25,786,351,412,229,294,27,73,172,36
29,735,335,422,232,324,29,68,207,50
31,708,289,341,209,414,23,79,183,42
31,603,271,402,219,313,29,58,187,53
25,605,298,384,266,390,23,66,162,70
17,635,254,382,312,336,27,67,160,30
19,590,269,547,253,353,22,75,203,37
32,560,287,501,268,263,18,82,185,41
36,630,270,757,286,137,17,88,169,39
35,659,344,580,276,227,24,82,186,48
42,623,315,562,302,532,36,134,204,38
45,927,564,856,314,598,26,122,211,72
48,967,605,771,304,256,22,104,259,64
160,1014,893,1526,598,650,73,139,544,90
190,1154,848,1688,644,574,53,104,604,100
140,1136,836,1553,687,477,100,200,642,125
199,1126,1010,1876,770,513,70,161,639,121
226,1159,1071,2289,688,722,43,135,519,135
287,1338,1241,2134,835,543,40,172,550,157
266,1384,1261,2482,846,522,61,121,605,119
252,1431,1153,2438,878,633,106,113,611,118
201,1662,1222,2275,861,554,54,140,575,90
304,1934,1433,2518,904,641,48,142,648,136
276,1875,1435,2625,974,536,43,150,642,133
218,2103,395,2450,906,700,69,128,709,134
201,2045,1592,2446,872,637,35,143,655,80
196,2196,882,2445,917,688,40,142,976,121
216,2036,1450,2195,959,709,63,154,1079,95
268,2007,1374,2278,928,946,62,167,1133,126
342,2376,1611,2905,1142,1441,91,238,1166,144
489,2720,2098,3809,1358,1825,149,296,1425,155
1066,2912,2564,5082,1920,2298,204,423,1591,208
1293,3163,3594,6356,2131,2511,254,453,1667,245
1061,3163,3694,5125,2189,2104,279,336,1722,349
941,2696,4147,5550,2256,1765,377,549,1805,364
581,2403,3433,4896,2531,1534,432,572,1672,387
462,2478,2465,4208,2132,1280,268,572,1437,409
424,2362,2265,3118,1657,1118,252,498,1233,350
340,2177,2032,2587,1436,845,178,388,1154,263
296,1805,1699,2028,1219,691,178,348,1183,222
210,1624,1487,1720,1037,836,119,202,1033,192
117,1289,1249,1693,984,537,85,232,888,148
133,1285,1063,1692,913,687,90,275,1071,139
387,4852,2267,3520,2013,1807,148,363,3003,267
299,3234,2186,3152,1647,1431,127,383,1785,334
241,4704,1533,1748,1285,1197,116,253,1243,234
143,13809,1436,1459,1262,875,96,253,1211,230
170,15955,1340,1336,1163,843,85,282,1071,149
310,11050,1215,1103,1224,714,47,392,877,173
278,6496,1599,1102,1192,502,39,297,756,131
256,4294,1942,1223,1187,603,26,394,727,128
150,2825,1646,1471,880,563,46,334,759,127
150,1932,1384,1576,618,666,38,225,741,92
123,1417,1155,1268,600,662,37,140,809,79
93,1071,997,1471,553,687,50,117,859,66
82,1008,930,1566,527,654,64,73,757,74
71,925,904,1576,530,531,54,131,758,107
59,940,918,1524,590,507,46,77,789,76
44,969,856,1804,588,613,79,93,728,103
75,973,966,3436,583,1753,117,104,828,106
102,1167,1062,6159,778,3224,641,144,940,339
144,1426,1318,10272,1583,3982,516,331,1397,381
174,1775,2159,9906,2150,3367,610,483,1497,440
350,1828,2961,9923,2307,5142,652,777,1743,408
486,2133,3349,8539,2279,3444,933,974,1810,507
447,1904,3578,8446,2467,5356,1002,1609,2331,779
665,2402,6445,11213,4968,9116,2602,4706,4698,1605
930,2745,9239,10352,7224,9027,3878,7201,5882,1718
1883,4780,15928,9814,11269,7747,4409,7275,4404,1559
3222,6327,16526,9640,10959,5809,3135,4902,4648,1243
4703,6263,11369,8489,8776,5606,2561,4171,4260,819
3365,6135,7475,7048,6334,4183,1709,2445,3382,653
2273,5020,4818,6212,4155,3502,984,1616,3488,452
861,4334,2868,4517,2315,2740,678,1094,2870,231
775,3848,2604,4754,1992,3014,760,817,2877,289
595,3348,2505,4170,1889,2749,574,824,2451,220
434,3182,2271,3880,1448,2427,453,746,2069,171
270,2719,2164,3452,1454,1979,364,507,1521,145
267,3010,2203,3414,1417,2334,381,602,1810,175
276,2342,2114,3052,1314,2278,418,591,1721,193
235,2270,1856,3124,1239,2614,360,445,1776,169
278,2432,1811,3525,1326,2463,471,691,1582,178
302,2072,2010,3459,1319,2331,443,883,2046,257
352,2204,1734,3728,1441,2744,682,763,2162,227
327,2205,1424,3651,1493,2323,691,792,2246,229
366,2029,1470,3846,1407,2741,707,645,1567,287
288,1713,1569,4307,1152,3035,650,867,2257,249
234,1424,1738,3558,1032,2629,764,769,2137,201
228,1489,1697,4068,896,2661,542,739,1858,176
183,1710,1605,3277,922,1841,548,606,1763,146
189,1632,1470,2897,754,1671,379,590,1495,114
191,1563,1331,2525,730,1390,323,542,1665,99
249,1258,1101,2050,670,1283,302,488,1302,110
170,1488,1007,2002,706,1262,236,455,1397,78
124,1492,1108,1875,563,1146,195,578,1208,73
120,1450,1124,1800,609,1257,207,493,1265,115
161,1353,1147,1707,606,1128,172,381,1186,73
107,1308,998,1746,484,1083,222,395,1269,85
114,1284,1099,1697,647,895,163,391,1250,63
122,1143,1016,1493,595,896,146,318,1070,54
94,1117,1011,1491,597,821,89,281,1022,72
102,1008,868,1328,571,699,122,194,823,40
92,1010,901,1158,573,533,90,158,758,43
91,1106,746,1135,565,601,98,155,784,53
79,1020,656,1070,482,489,80,124,695,23
84,999,722,1017,481,488,76,132,656,36
75,878,569,845,437,492,80,146,669,43
89,810,577,837,334,506,68,107,582,40
79,825,538,837,317,404,111,136,557,46
78,863,555,874,402,467,54,98,642,44
91,780,535,1009,451,350,60,119,569,44
71,795,620,1090,500,576,51,140,626,49
69,701,667,1335,424,538,84,160,395,47
57,703,679,1365,455,791,86,216,619,36
77,894,815,1466,558,828,94,245,447,69
101,907,869,1137,589,739,109,259,742,58
115,1184,1018,1441,656,843,124,260,1032,68
97,1082,930,1383,521,963,151,237,943,80
252,1259,1119,1830,758,1638,216,315,999,87
307,1494,1276,2008,900,1575,227,257,1144,159
338,1419,1314,2059,987,1705,241,291,1191,139
345,1476,1335,2208,1003,1693,213,306,1167,158
338,1518,1357,2567,1129,1967,178,354,1430,182
302,1804,1495,3030,1073,2093,306,290,1239,175
395,2047,1512,3832,1072,2065,270,318,1621,204
321,2172,1464,3537,917,1708,162,236,1407,155
412,2799,1659,3522,1037,2076,323,344,1669,156
423,3010,1605,4034,1091,1952,318,339,2025,161
440,3680,1574,6018,1138,2221,362,326,2139,124
405,4471,1858,6596,1341,2400,335,302,2025,166
411,4173,2131,6147,1613,3062,375,332,1916,186
508,3873,2380,5506,1677,2909,389,357,2237,190
555,3496,2754,4962,1928,3535,380,409,2460,242
568,3251,3895,6652,2720,5130,489,627,2649,276
780,3060,4800,8480,3783,5714,878,781,3364,335
929,3110,5633,9072,3708,6357,862,967,3267,379
1198,3338,5488,8788,3668,5785,943,1238,3593,417
1339,3363,5605,8188,3659,7688,1186,1274,3687,578
1252,3238,4889,6697,3236,5715,1276,1163,3306,505
1035,2653,3835,4467,2962,3853,1056,1104,3090,572
960,2283,2830,3443,2557,2944,838,1002,2976,544
756,2216,2443,2968,2215,2462,500,815,2545,389
616,2042,1869,2490,1717,2031,353,676,1901,336
683,2068,1765,2302,1558,1674,257,498,1910,242
579,2093,1533,2009,1295,1562,230,361,1624,212
499,1702,1133,1775,929,1177,196,331,1456,193
390,1626,1121,1606,892,1089,148,272,1399,152
368,1385,907,1516,757,1074,116,253,1322,132
341,1300,936,1399,714,1002,84,215,1196,120
286,1436,936,1331,787,987,95,186,1096,96
274,1237,953,1273,616,884,91,185,907,110
294,1439,863,1124,529,716,73,155,794,85
247,1282,841,1215,675,697,25,123,747,94
294,1263,836,1009,531,616,26,122,769,81
246,1181,806,848,428,673,8,116,610,73
214,1032,653,763,424,575,24,88,592,83
187,949,633,698,506,513,8,84,567,73
183,849,636,757,485,456,10,104,479,50
203,740,542,684,328,553,8,86,533,44
207,640,525,686,418,499,18,110,450,44
188,692,513,629,416,515,19,104,424,38
183,651,494,570,438,479,11,126,222,28
194,675,507,719,394,470,12,109,402,41
189,640,565,900,443,555,8,116,420,38
184,709,601,1078,512,664,17,129,525,25
182,661,606,1052,552,828,30,178,557,71
172,690,682,1145,564,808,59,163,460,70
214,793,891,1373,596,740,103,193,602,62
214,795,1109,1258,708,701,56,294,604,83
273,1080,1263,1463,749,770,69,292,667,82
280,1672,1340,1748,1232,1354,223,499,877,140
401,1868,1424,1805,1213,1203,211,528,1000,150
381,1813,1414,1791,1206,1376,184,515,1147,131
432,1822,1508,1791,1190,1388,280,537,1196,154
450,2223,1546,2020,1301,1472,303,592,1312,177
471,2248,1681,2233,1255,1409,255,600,1190,154
391,2285,1661,2010,1235,1644,220,617,1467,191
335,2306,1487,1934,1146,1296,166,580,988,139
431,2663,1739,1911,1209,1510,276,567,981,192
377,2746,1557,2003,1096,1206,212,547,1307,136
448,2731,1691,2129,1184,1454,333,609,1379,179
448,2775,1681,2270,1180,1380,269,566,1230,159
408,2657,1938,2424,1371,1297,342,596,1147,176
419,2636,1779,2067,1240,1445,313,633,1291,169
455,2140,1513,2229,1258,1384,364,700,1357,143
433,2221,1645,2347,1250,1455,407,680,1346,155
486,2155,1655,2612,1435,1642,464,827,1719,214
468,2158,1746,2872,1659,1710,643,989,1961,242
475,2131,1672,3013,1498,1936,747,1010,1913,229
480,2177,1826,3137,1884,2128,839,1081,2073,304
449,2398,1740,2901,2163,2205,807,1182,2036,256
417,2215,1691,2996,2169,2561,917,1215,2030,307
381,2207,1714,3056,2457,2087,859,1171,1533,298
406,2468,1679,3040,2810,2593,679,1324,1793,358
473,2350,1610,2593,2174,1973,396,940,1637,378
358,2179,1439,2207,1531,1825,273,858,2075,272
438,2186,1305,1983,1464,1565,211,694,1779,305
456,2030,1238,1764,1306,1382,177,641,1396,342
381,2013,1214,1730,1184,1450,165,566,1127,293
322,1654,1145,1566,1113,1290,157,563,1304,256
269,1741,1124,1397,1059,1250,143,447,1315,254
301,1865,991,1407,821,1175,97,449,1278,192
246,1737,947,1393,746,1135,77,441,1183,157
253,1616,874,1568,620,1228,59,370,1167,123
214,1509,873,1502,646,816,26,484,981,102
206,1493,858,1315,604,916,8,389,890,86
205,1451,867,1116,472,807,9,339,796,71
216,1530,789,950,492,832,5,317,855,62
225,1522,735,918,486,867,6,267,707,53
185,1329,685,925,486,769,18,238,614,42
220,1387,629,804,517,743,15,236,594,40
203,1206,679,704,475,739,11,242,626,46
182,1132,686,885,545,683,14,266,668,42
182,1024,675,852,607,801,19,252,710,37
201,986,652,816,484,853,9,226,755,44
191,989,688,999,524,799,13,285,529,34
159,1183,741,1215,648,1021,54,267,816,37
182,973,825,1198,717,1055,59,312,953,44
196,1036,883,1119,657,1023,67,383,875,57
233,1237,1083,1096,860,1279,91,407,1038,58
231,1407,1229,1151,827,1291,76,331,1034,79
236,1405,1240,1217,822,1324,98,379,988,98
322,1570,1353,1549,1100,1558,254,421,1142,126
295,1734,1435,1682,1127,1894,255,437,1167,132
438,1921,1456,1690,1214,1643,323,446,1310,144
334,1989,1497,1842,1129,2026,285,416,1267,128
314,1584,1447,1987,1253,2100,378,529,1297,172
337,1656,1585,2517,1392,2731,340,523,1413,180
373,1902,1705,3048,1384,2620,415,582,1364,230
325,2150,1915,3539,1345,3057,357,652,1108,202
516,2792,2278,4492,1838,3521,510,864,1481,229
734,3493,3210,7234,2472,4386,581,1021,1509,237
1071,4046,4462,7345,3389,5219,670,1245,1667,318
1485,5047,6338,6660,4005,5987,868,1844,1808,290
1380,5426,7539,6746,3889,6309,1105,2039,1755,400
1344,5450,7018,5301,3545,5924,1173,2143,1852,353
1682,6947,8120,5575,3993,6636,1323,2473,2651,496
1541,7593,7090,4835,3818,6344,1444,2517,3703,556
1283,5890,3683,3759,3152,6220,1393,2275,4245,526
1191,4819,4053,3910,2976,5001,1282,2050,4001,525
919,4164,3192,3466,2719,3856,1101,1805,3282,483
801,3665,3311,3293,2437,3229,811,1473,2929,372
657,3982,3197,3135,2182,2815,622,1285,2329,315
658,3485,3203,3010,2208,2755,479,1120,2087,226
600,3430,3196,3299,1964,2744,456,980,2004,156
594,3217,2953,3125,2005,2350,360,914,1695,179
550,2870,2623,2740,1787,2189,277,702,1388,128
616,2479,2346,2440,1565,2079,245,639,1196,109
658,2230,1978,2092,1456,1947,196,598,1022,96
678,1937,1762,1686,1242,1759,177,502,1013,62
458,1901,1219,1313,1156,1612,148,464,852,65
390,1771,1127,1100,1063,1547,165,481,884,61
390,1792,1067,868,922,1395,141,496,857,58
343,1724,978,891,927,1478,118,452,768,25
274,1680,832,873,855,1505,92,394,776,36
248,1510,809,828,757,1250,98,389,656,44
216,1480,817,702,772,1134,83,400,562,24
215,1349,708,520,813,1001,20,350,628,34
248,1401,713,583,687,947,16,334,578,32
197,1363,711,499,688,1101,22,305,565,23
210,1217,621,490,649,927,12,283,492,14
174,1179,566,461,587,910,8,217,394,10
196,1185,532,399,622,896,8,244,407,21
187,1074,517,397,511,808,11,245,414,22
166,983,509,469,533,783,10,318,444,18
172,946,463,442,483,699,8,257,406,10
173,887,517,458,450,822,64,267,419,18
160,757,572,507,545,905,55,224,430,13
164,811,357,736,520,1047,54,223,390,15
162,807,620,823,583,1327,20,160,537,14
77,802,894,832,625,1543,72,283,486,12
165,899,1007,921,748,1792,97,138,583,24
195,1321,1161,848,806,1936,80,157,576,30
265,1565,1129,1040,828,2058,143,254,644,37
368,1792,1289,1453,1230,1910,182,408,972,73
391,1663,1287,1546,1387,2153,236,492,1192,73
421,1767,1412,1705,1381,2135,217,391,1140,89
391,2025,1559,2107,1512,2393,276,538,1154,81
